"grappe","prix_prod_moy","region","n_observations","lat","lon","prix_marche_moy","marge","marge_pct"
211,200,"Maradi",2,13.8765901,7.6632537,281.226624290054,81.2266242900541,40.6
213,260,"Maradi",2,13.7757009,7.5033134,281.226624290054,21.2266242900541,8.2
214,260,"Maradi",1,14.2895551538095,7.52937535755336,281.226624290054,21.2266242900541,8.2
216,320,"Maradi",1,13.4393551200628,8.28130885027349,281.226624290054,-38.7733757099459,-12.1
220,226.666666666667,"Maradi",3,13.9192285900936,8.35743363015354,281.226624290054,54.5599576233875,24.1
222,160,"Maradi",3,13.6965403240174,7.97672004438937,281.226624290054,121.226624290054,75.8
233,500,"Tahoua",1,15.2619795,5.8903097,304.216494763741,-195.783505236259,-39.2
234,104,"Tahoua",1,14.883932126686,6.42608799040318,304.216494763741,200.216494763741,192.5
246,196.031746031746,"Tahoua",3,14.3860227288678,6.38202197849751,304.216494763741,108.184748731995,55.2
259,250,"Tahoua",1,14.1559441,5.3638199,304.216494763741,54.2164947637414,21.7
262,416.666666666667,"Tahoua",1,14.8840482579544,5.92445321381092,304.216494763741,-112.450171902925,-27
263,250,"Tahoua",3,15.0235232,5.7544034,304.216494763741,54.2164947637414,21.7
268,218.701298701299,"Tahoua",7,13.6637705611065,6.16780140437186,304.216494763741,85.5151960624427,39.1
270,172.888961915053,"Tahoua",5,14.0138785075396,5.76635928824544,304.216494763741,131.327532848688,76
274,350,"Tahoua",4,14.1194355022162,6.31443098187447,304.216494763741,-45.7835052362586,-13.1
291,400,"Tahoua",1,15.5115936,5.4252356,304.216494763741,-95.7835052362586,-23.9
293,320,"Tahoua",1,15.6254079,5.4183248,304.216494763741,-15.7835052362586,-4.9
314,192.758620689655,"Tillaberi",2,13.7546597,3.3054456,333.4615179829,140.702897293245,73
320,285.714285714286,"Tillaberi",2,13.8961318698068,1.50385444044964,333.4615179829,47.7472322686144,16.7
323,233.333333333333,"Tillaberi",1,13.5373358,2.8138017,333.4615179829,100.128184649567,42.9
328,276.117810305073,"Tillaberi",2,13.3365911119726,2.31809638990003,333.4615179829,57.3437076778274,20.8
331,150,"Tillaberi",2,13.6622178,1.7706519,333.4615179829,183.4615179829,122.3
332,138.888888888889,"Tillaberi",1,13.7341209607193,1.6146907364668,333.4615179829,194.572629094011,140.1
336,300,"Tillaberi",3,14.2025731,2.2318056,333.4615179829,33.4615179829001,11.2
343,238.095238095238,"Tillaberi",2,12.8441976,2.3223784,333.4615179829,95.366279887662,40.1
355,211.538461538462,"Tillaberi",1,13.9200546,1.5427447,333.4615179829,121.923056444439,57.6
360,250,"Tillaberi",1,12.834805276915,1.68707142566026,333.4615179829,83.4615179829001,33.4
378,300,"Zinder",1,13.5924801276997,10.0311723724008,320.999085273041,20.9990852730407,7
402,320,"Zinder",1,13.0616781,8.4231455,320.999085273041,0.999085273040691,0.3
417,166.666666666667,"Zinder",4,13.9694066,9.0854641,320.999085273041,154.332418606374,92.6
420,200,"Zinder",3,13.8711492391303,8.8607328850776,320.999085273041,120.999085273041,60.5
423,240,"Zinder",2,14.8605123,8.3193971,320.999085273041,80.9990852730407,33.7
424,160,"Zinder",2,14.5229394,8.3874517,320.999085273041,160.999085273041,100.6
425,263.550673576986,"Zinder",3,14.4086812,8.9906447,320.999085273041,57.4484116960551,21.8
426,160,"Zinder",2,14.1885405,8.6848787,320.999085273041,160.999085273041,100.6
427,224.724929889876,"Zinder",6,15.1730632,8.6631533,320.999085273041,96.274155383165,42.8
429,240.625,"Zinder",1,14.6689522,9.0213512,320.999085273041,80.3740852730407,33.4
702,180,"Diffa",1,13.3258783165365,12.6024565380067,309.147690777749,129.147690777749,71.7
703,240,"Diffa",1,13.3188543,12.6175598,309.147690777749,69.1476907777487,28.8
907,320.833333333333,"Diffa",2,13.2082071304321,12.0233249664307,309.147690777749,-11.6856425555846,-3.6
919,166.666666666667,"Dosso",1,13.0610942840576,3.20614576339722,308.630837636221,141.964170969555,85.2
920,400,"Dosso",1,13.0555419921875,3.20308995246887,308.630837636221,-91.3691623637788,-22.8
922,142.857142857143,"Dosso",1,13.0494918823242,3.19653940200806,308.630837636221,165.773694779078,116
923,379.62962962963,"Dosso",3,12.5955295562744,2.85177826881409,308.630837636221,-70.9987919934084,-18.7
928,165,"Maradi",2,14.5196294784546,6.76482439041138,281.226624290054,116.226624290054,70.4
954,205,"Tillaberi",2,13.0954942703247,2.36173176765442,333.4615179829,128.4615179829,62.7
