"grappe","rendement_moyen_grappe","n_parcelles"
174,10607.037037037,18
175,4194.34523809524,14
176,24538.6004273504,13
177,1670.65909090909,11
178,4827.00320512821,13
179,1531.55024509804,12
180,12416.7333333333,15
181,7000.61366959064,12
182,13186.6666666667,12
183,5310.36666666667,15
184,9918.14950980392,17
185,2907.94871794872,13
186,19143.2785987958,29
187,3719.74166666667,15
188,13044.7023809524,14
189,17743.4848484848,11
190,26661.2723214286,14
192,8701.953054178,19
193,3715.53525641026,13
194,15812.9487179487,13
195,4525.69642857143,14
196,13727.7380952381,7
197,3572.98076923077,13
198,9957.12719298246,19
199,8609.72222222222,18
200,10002.9487179487,13
201,12316.5757575758,11
202,8808.45588235294,17
203,7966.5641025641,13
204,1352.28703703704,18
205,6524.99313186813,13
206,6277.20833333333,20
207,10886.7857142857,14
208,4501.10044642857,16
209,3751.09047619048,14
210,1485.08333333333,8
211,10797.4642857143,14
212,6173.78205128205,26
213,8195.27777777778,18
214,3214.41176470588,17
215,7135.73232323232,12
216,15500.318627451,17
217,12311.6666666667,13
218,2160.27272727273,11
219,14561.0555555556,15
220,19558.75,14
221,2662.63888888889,15
222,9408.48214285714,21
223,12219.2424242424,11
224,2043.55053191489,2
226,11125,2
228,1000,1
229,7290.625,2
230,78413.125,2
231,9571.66666666667,3
233,14398.8571428571,7
234,21775,9
235,14633.7142857143,10
236,8862.5,5
237,10850.9294871795,13
238,13326.0224089636,17
239,8269.77941176471,17
240,1531.58928571429,14
241,11368.4375,4
243,11937.8422619048,14
244,7783.33333333333,14
245,4767.9375,10
246,7273.90301827802,18
247,1364.21212121212,11
248,534.8,6
249,2357.92105263158,19
250,6878.30714285714,21
251,1967.66182230468,21
252,15688.380952381,21
253,2376.625,10
254,3852.65384615385,13
255,704.471153846154,13
256,8268.40955066237,14
257,19106.9666666667,12
258,12964.4545454545,11
259,7568.05555555556,12
260,1436.07894736842,19
261,4485.41666666667,20
262,14288,15
263,10344.3076923077,13
264,7288.18452380952,12
265,9943.64583333333,8
266,2951.47619047619,21
267,12870.2604166667,16
268,31753.0701754386,19
269,6953.28125,16
270,12362.4722222222,30
271,11791.675,10
272,19963.0882352941,17
273,11753.7317460317,15
274,9923.39285714286,28
275,19186.4705882353,17
276,8723.59782608696,23
277,15017.7238321799,17
278,3958.54166666667,6
279,20053.9583333333,14
280,6974.05753968254,21
281,17867.5320512821,13
282,4089.37857142857,14
283,2754.68035714286,10
284,294.814814814815,9
285,683.6204004329,11
286,5979.64285714286,7
287,1761.08333333333,12
288,2933.58666666667,15
290,303.985294117647,7
291,23229.0916666667,10
292,4898.61111111111,6
293,20340,5
294,1300,2
295,416.02576489533,9
296,9654.16666666667,3
297,7645.3125,4
304,6372.74145299145,13
305,5963.15340909091,11
309,10571.2308080808,11
311,2041.99652777778,12
312,3526.78571428571,7
314,3933.77314814815,9
315,1796.01515151515,11
316,1997.63888888889,6
317,12808.6538461538,13
319,20918.3660287081,11
320,15412.9696969697,11
321,5972.20588235294,17
322,12477.5277777778,12
323,5938.55769230769,13
324,3923.77898550725,23
325,3048.78333333333,15
326,9602.13333333333,15
327,23003.9423076923,13
328,8964.58333333333,4
329,5209.14102564103,13
330,7484.325,10
331,14230.5606060606,11
332,10011.8777777778,15
333,9437.5,14
334,1114.6875,20
335,6451.8253968254,12
336,7600.37878787879,11
337,7540.93055555556,12
341,13895.1111111111,10
342,8878.25925925926,9
343,24606.7972985036,12
352,32265.8333333333,3
354,1533.15476190476,7
355,25905.6458333333,8
356,9172.13541666667,8
357,667.5,2
358,2870,4
360,5040,2
363,2032,5
364,5383.44832251082,22
365,2954.72222222222,6
366,1150.07275132275,12
367,13224.4074534161,12
368,3470.84490740741,18
369,870.910443722944,11
370,3665.19642857143,14
371,3046.50384615385,13
372,13203.8888888889,21
373,8529.54166666667,4
374,3966.5625,16
375,4097.93181818182,11
376,2360.37131519274,21
377,4767.22619047619,14
378,1374.89866946779,17
379,5062.75555555556,15
380,87.5,2
381,1947.62222222222,12
382,5250.52083333333,8
383,7015.16428571429,14
384,350,4
385,7258.78787878788,11
386,5848.03571428571,14
387,8160.46176470588,17
388,12910.7142857143,14
389,3976.25,8
390,19057.7841880342,15
391,8752.18181818182,11
392,5726.71875,16
393,2508.98351648352,13
394,939.1875,16
395,3712.61904761905,7
396,825.350877192982,19
397,7183.77777777778,15
398,3567,10
399,782.916666666667,16
400,16966.4285714286,7
401,12670.9722222222,15
402,17241.25,8
403,458.942307692308,13
404,587.727272727273,11
405,13558.6858974359,13
406,1590.10416666667,8
407,867.777777777778,12
408,4342.35872235872,11
409,6022.5425170068,14
410,7741.66666666667,6
411,2159.39393939394,11
412,1706.38888888889,12
413,465.651960784314,17
414,4381.59259259259,9
415,1262.30769230769,13
416,5518.09523809524,7
417,2113.63736263736,13
418,3456.02380952381,14
